               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064943,            0.024666,            0.021572,             0.28182,             0.21113,             0.11745,            0.042998,                   0,                   0,                   0,             0.00147,             0.00147,             0.08677
                   1,            0.064306,            0.024222,            0.021556,             0.24765,             0.20791,             0.10637,            0.039139,                   0,                   0,                   0,             0.00295,             0.00295,             0.07345
                   2,            0.063675,            0.024337,            0.020398,              0.3789,              0.1788,              0.1221,            0.040299,                   0,                   0,                   0,             0.00443,             0.00443,             0.06013
                   3,            0.063932,            0.024548,            0.019819,             0.23165,             0.22002,            0.088716,            0.030181,                   0,                   0,                   0,             0.00591,             0.00591,             0.04681
                   4,            0.064607,            0.025314,            0.019104,             0.47482,             0.14702,             0.11895,            0.050098,                   0,                   0,                   0,             0.00739,             0.00739,             0.03349
                   5,            0.065245,            0.024876,            0.019314,             0.24761,             0.16343,            0.084766,            0.033998,                   0,                   0,                   0,             0.00887,             0.00887,             0.02017
                   6,            0.069378,            0.025024,             0.01936,             0.22695,             0.20729,             0.11069,            0.041994,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   7,            0.067757,            0.024281,            0.019712,              0.1906,             0.24602,            0.053448,            0.017113,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   8,            0.065963,            0.024171,            0.019405,             0.24007,              0.2456,             0.11528,            0.037522,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   9,            0.065974,            0.024142,            0.018857,              0.1583,             0.25339,            0.063276,            0.021342,                   0,                   0,                   0,                0.01,                0.01,                0.01
