               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10593,            0.029693,            0.040111,          0.00023105,            0.036874,          0.00012102,           2.635e-05,                   0,                   0,                   0,             0.00147,             0.00147,             0.08677
                   1,             0.10081,            0.029572,            0.039393,          0.00057951,            0.059908,          0.00035267,          0.00019991,                   0,                   0,                   0,             0.00295,             0.00295,             0.07345
                   2,            0.096754,            0.029776,            0.038389,           0.0010845,           0.0019493,           0.0003093,          0.00012296,                   0,                   0,                   0,             0.00443,             0.00443,             0.06013
                   3,            0.094385,            0.029804,            0.035965,           0.0006053,            0.059815,          0.00042207,          0.00012583,                   0,                   0,                   0,             0.00591,             0.00591,             0.04681
                   4,            0.091975,            0.029368,            0.031935,            0.014251,             0.13388,           0.0081792,           0.0019623,                   0,                   0,                   0,             0.00739,             0.00739,             0.03349
                   5,            0.088196,            0.028637,            0.029547,             0.23896,            0.028753,           0.0049404,           0.0010168,                   0,                   0,                   0,             0.00887,             0.00887,             0.02017
                   6,            0.088043,            0.027746,            0.027973,             0.33551,           0.0053229,          0.00097344,          0.00025023,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   7,            0.085713,            0.026393,            0.027229,             0.22623,             0.13602,           0.0021074,          0.00062706,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   8,            0.082217,            0.026265,            0.026628,             0.67243,           0.0049085,            0.002075,          0.00056169,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   9,            0.080227,            0.026177,            0.025584,             0.12069,             0.19475,           0.0073148,           0.0025826,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  10,            0.075128,            0.026675,            0.022923,            0.029776,              0.1459,            0.022688,           0.0074919,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  11,            0.068392,             0.02588,            0.019541,            0.042999,             0.10264,            0.031298,            0.011852,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  12,             0.06644,            0.025628,            0.018038,            0.028756,             0.12644,            0.021571,           0.0089056,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  13,            0.064337,            0.025566,            0.017834,           0.0037911,             0.03911,           0.0024066,          0.00074761,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  14,            0.062156,            0.023536,            0.016062,            0.004597,            0.027972,           0.0028896,          0.00095462,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  15,             0.06308,            0.026802,            0.017104,           0.0058601,            0.020365,           0.0034474,           0.0011312,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  16,            0.059777,            0.023455,            0.014974,           0.0045234,            0.025208,           0.0031659,           0.0011463,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  17,            0.059033,            0.023254,            0.014524,              0.1258,            0.017516,           0.0050443,           0.0018902,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  18,             0.07202,            0.029293,             0.02171,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  19,            0.065925,            0.025653,            0.017952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  20,            0.062932,              0.0245,            0.016484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  21,            0.061562,            0.024252,            0.015654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  22,            0.059905,            0.023804,            0.015078,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  23,            0.059288,            0.022952,             0.01444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  24,            0.059021,            0.023171,             0.01382,           0.0037987,           0.0011396,           0.0019507,          0.00067602,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  25,            0.058563,             0.02264,            0.013927,            0.034411,           0.0081426,            0.017878,           0.0043111,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  26,            0.057733,            0.022382,            0.013341,            0.049287,            0.028187,            0.029217,            0.009013,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  27,            0.057031,            0.022225,            0.013343,            0.050451,            0.054684,            0.033857,            0.012806,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  28,            0.056906,            0.021864,            0.013383,             0.17884,            0.046675,            0.033716,            0.012614,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  29,            0.056084,            0.022053,            0.012776,              0.1767,            0.071795,            0.038509,              0.0157,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  30,            0.056231,            0.021739,            0.012897,             0.18298,            0.068781,            0.040621,            0.017205,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  31,             0.05487,            0.021797,            0.012116,             0.17288,             0.09773,            0.043354,            0.018232,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  32,            0.053498,            0.021579,            0.011818,             0.18012,             0.10602,            0.049536,            0.020318,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  33,            0.052825,            0.021668,            0.011275,             0.20166,             0.09764,             0.05741,            0.022469,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  34,            0.052028,            0.021357,            0.011238,             0.31313,             0.10886,            0.062309,            0.024578,                   0,                   0,                   0,                0.01,                0.01,                0.01
